ID;Come_from;Food_plant;Time;Size_before;Size_after;Lepidoptera
ZA1;L. alpinus;L. alpinus;4.999999992;29.475;18.674;Z. filipendulae
ZA2;L. alpinus;L. alpinus;4.999999992;78.737;62.462;Z. filipendulae
ZA3;L. alpinus;L. alpinus;4.9999986;54.102;39.455;Z. filipendulae
ZA4;L. alpinus;L. alpinus;4.9999986;49.027;47.738;Z. filipendulae
ZA5;L. alpinus;L. alpinus;4.9999986;54.016;34.878;Z. filipendulae
ZA6;L. alpinus;L. alpinus;4.9999986;62.436;54.597;Z. filipendulae
ZA7;L. alpinus;L. alpinus;4.9999986;57.151;45.317;Z. filipendulae
ZA8;L. alpinus;L. alpinus;4.9999986;51.805;37.978;Z. filipendulae
ZA9;L. alpinus;L. alpinus;4.9999986;88.008;65.416;Z. filipendulae
ZA10;L. alpinus;L. alpinus;4.9999986;41.447;38.376;Z. filipendulae
ZA11;L. alpinus;L. alpinus;4.9999986;30.118;28.455;Z. filipendulae
ZA12;L. alpinus;L. alpinus;4.9999986;90.418;47.316;Z. filipendulae
ZA13;L. alpinus;L. alpinus;4.9999986;46.428;39.514;Z. filipendulae
ZA14;L. alpinus;L. alpinus;4.9999986;27.929;25.702;Z. filipendulae
ZA15;L. alpinus;L. alpinus;4.9999986;37.047;34.638;Z. filipendulae
ZA16;L. alpinus;L. alpinus;4.9999986;61.75;52.023;Z. filipendulae
ZA17;L. alpinus;L. alpinus;4.9999986;52.464;49.938;Z. filipendulae
ZA18;L. alpinus;L. alpinus;4.9999986;25.047;19.891;Z. filipendulae
ZA19;L. alpinus;L. alpinus;4.9999986;23.523;19.529;Z. filipendulae
ZA20;L. alpinus;L. alpinus;4.9999986;125.814;50.959;Z. filipendulae
ZA1;L. alpinus;L. corniculatus;4.999999992;53.133;42.255;Z. filipendulae
ZA2;L. alpinus;L. corniculatus;4.999999992;86.476;71.885;Z. filipendulae
ZA3;L. alpinus;L. corniculatus;4.9999986;62.918;51.606;Z. filipendulae
ZA4;L. alpinus;L. corniculatus;4.9999986;95.059;54.562;Z. filipendulae
ZA5;L. alpinus;L. corniculatus;4.9999986;101.541;71.686;Z. filipendulae
ZA6;L. alpinus;L. corniculatus;4.9999986;136.821;115.861;Z. filipendulae
ZA7;L. alpinus;L. corniculatus;4.9999986;108.048;93.547;Z. filipendulae
ZA8;L. alpinus;L. corniculatus;4.9999986;83.61;70.075;Z. filipendulae
ZA9;L. alpinus;L. corniculatus;4.9999986;64.068;49.984;Z. filipendulae
ZA10;L. alpinus;L. corniculatus;4.9999986;79.061;61.938;Z. filipendulae
ZA11;L. alpinus;L. corniculatus;4.9999986;101.153;90.848;Z. filipendulae
ZA12;L. alpinus;L. corniculatus;4.9999986;57.67;81.773;Z. filipendulae
ZA13;L. alpinus;L. corniculatus;4.9999986;68.892;56.167;Z. filipendulae
ZA14;L. alpinus;L. corniculatus;4.9999986;116.554;100.306;Z. filipendulae
ZA15;L. alpinus;L. corniculatus;4.9999986;84.635;65.297;Z. filipendulae
ZA16;L. alpinus;L. corniculatus;4.9999986;72.822;58.793;Z. filipendulae
ZA17;L. alpinus;L. corniculatus;4.9999986;116.673;98.578;Z. filipendulae
ZA18;L. alpinus;L. corniculatus;4.9999986;32.697;21.73;Z. filipendulae
ZA19;L. alpinus;L. corniculatus;4.9999986;115.583;96.303;Z. filipendulae
ZA20;L. alpinus;L. corniculatus;4.9999986;65.137;113.891;Z. filipendulae
ZC1;L. corniculatus;L. alpinus;5.050000008;62.575;52.42;Z. filipendulae
ZC2;L. corniculatus;L. alpinus;5.050000008;87.132;78.583;Z. filipendulae
ZC3;L. corniculatus;L. alpinus;5.0500014;56.101;50.812;Z. filipendulae
ZC4;L. corniculatus;L. alpinus;5.0500014;105.889;96.248;Z. filipendulae
ZC5;L. corniculatus;L. alpinus;5.0500014;73.849;64.82;Z. filipendulae
ZC6;L. corniculatus;L. alpinus;5.0500014;86.51;79.116;Z. filipendulae
ZC7;L. corniculatus;L. alpinus;5.0500014;71.953;66.442;Z. filipendulae
ZC8;L. corniculatus;L. alpinus;5.0500014;40.652;40.214;Z. filipendulae
ZC9;L. corniculatus;L. alpinus;5.0500014;140.769;130.971;Z. filipendulae
ZC10;L. corniculatus;L. alpinus;5.0500014;26.171;12.756;Z. filipendulae
ZC11;L. corniculatus;L. alpinus;5.0500014;62.083;55.244;Z. filipendulae
ZC12;L. corniculatus;L. alpinus;5.0500014;128.298;114.753;Z. filipendulae
ZC13;L. corniculatus;L. alpinus;5.0500014;51.433;45.251;Z. filipendulae
ZC14;L. corniculatus;L. alpinus;5.0500014;88.224;65.432;Z. filipendulae
ZC15;L. corniculatus;L. alpinus;5.0500014;84.987;78.63;Z. filipendulae
ZC16;L. corniculatus;L. alpinus;5.0500014;105.352;99.42;Z. filipendulae
ZC17;L. corniculatus;L. alpinus;5.0500014;59.17;56.383;Z. filipendulae
ZC18;L. corniculatus;L. alpinus;5.0500014;39.147;36.935;Z. filipendulae
ZC19;L. corniculatus;L. alpinus;5.0500014;32.022;19.834;Z. filipendulae
ZC20;L. corniculatus;L. alpinus;5.0500014;44.685;32.803;Z. filipendulae
ZC1;L. corniculatus;L. corniculatus;5.050000008;87.912;58.154;Z. filipendulae
