ID;Cage;Plant;Week;Pupation
D1;PTA-01;P. atrata;4;0
D2;PTA-01;P. atrata;4;0
D3;PTA-01;P. atrata;4;0
D4;PTA-03;P. atrata;4;0
D5;PTA-03;P. atrata;4;0
D6;PTA-03;P. atrata;4;0
D7;PTA-04;P. atrata;4;0
D8;PTA-04;P. atrata;4;0
D9;PTA-04;P. atrata;4;0
D10;PTA-05;P. atrata;4;0
D11;PTA-05;P. atrata;4;0
D12;PTA-05;P. atrata;4;0
D13;PTA-06;P. atrata;4;1
D14;PTA-06;P. atrata;4;0
D15;PTA-06;P. atrata;4;0
D16;PTA-07;P. atrata;4;1
D17;PTA-07;P. atrata;4;1
D18;PTA-07;P. atrata;4;0
D19;PTA-08;P. atrata;4;0
D20;PTA-08;P. atrata;4;0
D21;PTA-08;P. atrata;4;0
D22;PTA-09;P. atrata;4;0
D23;PTA-09;P. atrata;4;0
D24;PTA-09;P. atrata;4;0
D25;PTA-10;P. atrata;4;0
D26;PTA-10;P. atrata;4;0
D27;PTA-10;P. atrata;4;0
D28;PTL-01;P. lanceolata;4;1
D29;PTL-01;P. lanceolata;4;1
D30;PTL-01;P. lanceolata;4;0
D31;PTL-02;P. lanceolata;4;1
D32;PTL-02;P. lanceolata;4;1
D33;PTL-02;P. lanceolata;4;0
D34;PTL-03;P. lanceolata;4;1
D35;PTL-03;P. lanceolata;4;1
D36;PTL-03;P. lanceolata;4;1
D37;PTL-04;P. lanceolata;4;0
D38;PTL-04;P. lanceolata;4;0
D39;PTL-04;P. lanceolata;4;0
D40;PTL-05;P. lanceolata;4;1
D41;PTL-05;P. lanceolata;4;1
D42;PTL-05;P. lanceolata;4;0
D43;PTL-06;P. lanceolata;4;0
D44;PTL-06;P. lanceolata;4;1
D45;PTL-06;P. lanceolata;4;1
D46;PTL-07;P. lanceolata;4;0
D47;PTL-07;P. lanceolata;4;0
D48;PTL-07;P. lanceolata;4;0
D49;PTL-08;P. lanceolata;4;0
D50;PTL-08;P. lanceolata;4;0
D51;PTL-08;P. lanceolata;4;0
D52;PTL-09;P. lanceolata;4;1
D53;PTL-09;P. lanceolata;4;1
D54;PTL-09;P. lanceolata;4;1
D55;PTL-10;P. lanceolata;4;0
D56;PTL-10;P. lanceolata;4;0
D57;PTL-10;P. lanceolata;4;0
