ID;Elevation;Date;Hour;Temperature
1;Low;2022-06-28;04:20:26;59.68
3;Low;2022-06-28;05:20:26;56.404
4;Low;2022-06-28;06:20:26;56.923
5;Low;2022-06-28;07:20:26;55.017
6;Low;2022-06-28;08:20:26;54.669
7;Low;2022-06-28;09:20:26;55.884
8;Low;2022-06-28;10:20:26;47.802
9;Low;2022-06-28;11:20:26;46.369
10;Low;2022-06-29;12:20:26;46.188
11;Low;2022-06-29;01:20:26;47.446
12;Low;2022-06-29;02:20:26;49.228
13;Low;2022-06-29;03:20:26;47.446
14;Low;2022-06-29;04:20:26;45.648
15;Low;2022-06-29;05:20:26;46.369
16;Low;2022-06-29;06:20:26;46.908
17;Low;2022-06-29;07:20:26;53.449
18;Low;2022-06-29;08:20:26;49.228
19;Low;2022-06-29;09:20:26;49.228
20;Low;2022-06-29;10:20:26;76.876
21;Low;2022-06-29;11:20:26;74.964
22;Low;2022-06-29;12:20:26;83.757
23;Low;2022-06-29;01:20:26;79.678
24;Low;2022-06-29;02:20:26;93.873
25;Low;2022-06-29;03:20:26;100.483
26;Low;2022-06-29;04:20:26;101.484
27;Low;2022-06-29;05:20:26;96.942
28;Low;2022-06-29;06:20:26;85.374
29;Low;2022-06-29;07:20:26;78.098
30;Low;2022-06-29;08:20:26;60.712
31;Low;2022-06-29;09:20:26;55.364
32;Low;2022-06-29;10:20:26;51.874
33;Low;2022-06-29;11:20:26;50.819
34;Low;2022-06-30;12:20:26;51.172
35;Low;2022-06-30;01:20:26;51.874
36;Low;2022-06-30;02:20:26;52.401
37;Low;2022-06-30;03:20:26;50.819
38;Low;2022-06-30;04:20:26;50.643
39;Low;2022-06-30;05:20:26;50.995
40;Low;2022-06-30;06:20:26;53.449
41;Low;2022-06-30;07:20:26;55.189
42;Low;2022-06-30;08:20:26;56.75
43;Low;2022-06-30;09:20:26;54.842
44;Low;2022-06-30;10:20:26;76.006
45;Low;2022-06-30;11:20:26;87.368
46;Low;2022-06-30;12:20:26;96.555
47;Low;2022-06-30;01:20:26;87.552
48;Low;2022-06-30;02:20:26;111.801
49;Low;2022-06-30;03:20:26;98.897
50;Low;2022-06-30;04:20:26;100.083
51;Low;2022-06-30;05:20:26;95.4
52;Low;2022-06-30;06:20:26;70.137
53;Low;2022-06-30;07:20:26;60.368
54;Low;2022-06-30;08:20:26;55.537
55;Low;2022-06-30;09:20:26;54.322
56;Low;2022-06-30;10:20:26;53.449
57;Low;2022-06-30;11:20:26;52.401
58;Low;2022-07-01;12:20:26;49.937
59;Low;2022-07-01;01:20:26;49.759
60;Low;2022-07-01;02:20:26;49.05
61;Low;2022-07-01;03:20:26;48.695
62;Low;2022-07-01;04:20:26;47.982
63;Low;2022-07-01;05:20:26;47.982
64;Low;2022-07-01;06:20:26;47.088
65;Low;2022-07-01;07:20:26;49.759
66;Low;2022-07-01;08:20:26;50.466
67;Low;2022-07-01;09:20:26;50.995
68;Low;2022-07-01;10:20:26;50.466
69;Low;2022-07-01;11:20:26;54.669
70;Low;2022-07-01;12:20:26;54.495
71;Low;2022-07-01;01:20:26;62.94
72;Low;2022-07-01;02:20:26;67.05
73;Low;2022-07-01;03:20:26;93.873
74;Low;2022-07-01;04:20:26;95.783
75;Low;2022-07-01;05:20:26;90.68
76;Low;2022-07-01;06:20:26;80.029
77;Low;2022-07-01;07:20:26;69.278
78;Low;2022-07-01;08:20:26;61.398
79;Low;2022-07-01;09:20:26;47.624
80;Low;2022-07-01;10:20:26;44.922
81;Low;2022-07-01;11:20:26;44.013
82;Low;2022-07-02;12:20:26;44.013
83;Low;2022-07-02;01:20:26;42.732
84;Low;2022-07-02;02:20:26;42.363
85;Low;2022-07-02;03:20:26;42.363
86;Low;2022-07-02;04:20:26;41.625
87;Low;2022-07-02;05:20:26;41.994
88;Low;2022-07-02;06:20:26;42.179
89;Low;2022-07-02;07:20:26;43.466
90;Low;2022-07-02;08:20:26;44.379
91;Low;2022-07-02;09:20:26;44.56
92;Low;2022-07-02;10:20:26;77.225
93;Low;2022-07-02;11:20:26;97.72
94;Low;2022-07-02;12:20:26;102.9
95;Low;2022-07-02;01:20:26;89.938
96;Low;2022-07-02;02:20:26;116.796
97;Low;2022-07-02;03:20:26;117.262
98;Low;2022-07-02;04:20:26;117.262
99;Low;2022-07-02;05:20:26;107.683
100;Low;2022-07-02;06:20:26;95.016
101;Low;2022-07-02;07:20:26;87.733
102;Low;2022-07-02;08:20:26;75.659
103;Low;2022-07-02;09:20:26;58.476
104;Low;2022-07-02;10:20:26;53.449
105;Low;2022-07-02;11:20:26;52.05
106;Low;2022-07-03;12:20:26;52.576
107;Low;2022-07-03;01:20:26;51.172
108;Low;2022-07-03;02:20:26;51.699
109;Low;2022-07-03;03:20:26;53.1
110;Low;2022-07-03;04:20:26;52.225
111;Low;2022-07-03;05:20:26;50.466
112;Low;2022-07-03;06:20:26;51.172
113;Low;2022-07-03;07:20:26;56.057
114;Low;2022-07-03;08:20:26;56.057
115;Low;2022-07-03;09:20:26;55.189
116;Low;2022-07-03;10:20:26;87.368
117;Low;2022-07-03;11:20:26;108.322
118;Low;2022-07-03;12:20:26;104.54
119;Low;2022-07-03;01:20:26;96.555
120;Low;2022-07-03;02:20:26;104.128
121;Low;2022-07-03;03:20:26;108.108
122;Low;2022-07-03;04:20:26;114.721
123;Low;2022-07-03;05:20:26;109.396
124;Low;2022-07-03;06:20:26;96.555
125;Low;2022-07-03;07:20:26;75.139
126;Low;2022-07-03;08:20:26;64.996
127;Low;2022-07-03;09:20:26;55.884
128;Low;2022-07-03;10:20:26;54.495
129;Low;2022-07-03;11:20:26;55.364
130;Low;2022-07-04;12:20:26;54.147
131;Low;2022-07-04;01:20:26;55.017
132;Low;2022-07-04;02:20:26;54.669
133;Low;2022-07-04;03:20:26;54.322
134;Low;2022-07-04;04:20:26;53.623
135;Low;2022-07-04;05:20:26;54.495
136;Low;2022-07-04;06:20:26;54.322
137;Low;2022-07-04;07:20:26;56.057
138;Low;2022-07-04;08:20:26;61.054
139;Low;2022-07-04;09:20:26;67.221
140;Low;2022-07-04;10:20:26;76.006
141;Low;2022-07-04;11:20:26;92.174
142;Low;2022-07-04;12:20:26;88.65
143;Low;2022-07-04;01:20:26;77.4
144;Low;2022-07-04;02:20:26;91.24
145;Low;2022-07-04;03:20:26;85.014
146;Low;2022-07-04;04:20:26;96.748
147;Low;2022-07-04;05:20:26;75.312
148;Low;2022-07-04;06:20:26;70.48
149;Low;2022-07-04;07:20:26;62.254
150;Low;2022-07-04;08:20:26;60.712
151;Low;2022-07-04;09:20:26;59.337
152;Low;2022-07-04;10:20:26;56.577
153;Low;2022-07-04;11:20:26;55.884
154;Low;2022-07-05;12:20:26;55.364
155;Low;2022-07-05;01:20:26;54.322
156;Low;2022-07-05;02:20:26;52.576
157;Low;2022-07-05;03:20:26;53.623
158;Low;2022-07-05;04:20:26;55.189
159;Low;2022-07-05;05:20:26;54.842
160;Low;2022-07-05;06:20:26;52.75
161;Low;2022-07-05;07:20:26;55.711
162;Low;2022-07-05;08:20:26;60.195
163;Low;2022-07-05;09:20:26;63.797
164;Low;2022-07-05;10:20:26;69.107
165;Low;2022-07-05;11:20:26;68.077
166;Low;2022-07-05;12:20:26;79.678
167;Low;2022-07-05;01:20:26;79.151
168;Low;2022-07-05;02:20:26;101.685
169;Low;2022-07-05;03:20:26;105.37
170;Low;2022-07-05;04:20:26;101.685
171;Low;2022-07-05;05:20:26;93.682
172;Low;2022-07-05;06:20:26;89.2
173;Low;2022-07-05;07:20:26;75.484
174;Low;2022-07-05;08:20:26;59.337
175;Low;2022-07-05;09:20:26;55.364
176;Low;2022-07-05;10:20:26;51.699
177;Low;2022-07-05;11:20:26;48.871
178;Low;2022-07-06;12:20:26;48.339
179;Low;2022-07-06;01:20:26;47.802
180;Low;2022-07-06;02:20:26;46.548
181;Low;2022-07-06;03:20:26;46.548
182;Low;2022-07-06;04:20:26;46.369
183;Low;2022-07-06;05:20:26;45.466
184;Low;2022-07-06;06:20:26;46.008
185;Low;2022-07-06;07:20:26;46.728
186;Low;2022-07-06;08:20:26;47.982
187;Low;2022-07-06;09:20:26;48.517
188;Low;2022-07-06;10:20:26;77.923
189;Low;2022-07-06;11:20:26;90.124
190;Low;2022-07-06;12:20:26;98.11
191;Low;2022-07-06;01:20:26;84.295
192;Low;2022-07-06;02:20:26;109.828
193;Low;2022-07-06;03:20:26;112.023
194;Low;2022-07-06;04:20:26;108.75
195;Low;2022-07-06;05:20:26;99.093
196;Low;2022-07-06;06:20:26;71.683
197;Low;2022-07-06;07:20:26;72.545
198;Low;2022-07-06;08:20:26;64.31
199;Low;2022-07-06;09:20:26;53.1
200;Low;2022-07-06;10:20:26;50.113
201;Low;2022-07-06;11:20:26;50.995
202;Low;2022-07-07;12:20:26;48.517
203;Low;2022-07-07;01:20:26;47.802
204;Low;2022-07-07;02:20:26;47.446
205;Low;2022-07-07;03:20:26;46.908
206;Low;2022-07-07;04:20:26;46.008
207;Low;2022-07-07;05:20:26;47.088
208;Low;2022-07-07;06:20:26;46.008
209;Low;2022-07-07;07:20:26;47.802
210;Low;2022-07-07;08:20:26;48.517
211;Low;2022-07-07;09:20:26;49.228
212;Low;2022-07-07;10:20:26;75.139
213;Low;2022-07-07;11:20:26;89.755
214;Low;2022-07-07;12:20:26;96.555
215;Low;2022-07-07;01:20:26;84.474
216;Low;2022-07-07;02:20:26;114.039
217;Low;2022-07-07;03:20:26;114.949
218;Low;2022-07-07;04:20:26;89.384
219;Low;2022-07-07;05:20:26;95.207
220;Low;2022-07-07;06:20:26;71.683
221;Low;2022-07-07;07:20:26;66.366
222;Low;2022-07-07;08:20:26;63.282
223;Low;2022-07-07;09:20:26;56.057
224;Low;2022-07-07;10:20:26;50.113
225;Low;2022-07-07;11:20:26;47.802
226;Low;2022-07-08;12:20:26;45.828
227;Low;2022-07-08;01:20:26;44.922
228;Low;2022-07-08;02:20:26;44.742
229;Low;2022-07-08;03:20:26;44.379
230;Low;2022-07-08;04:20:26;43.831
231;Low;2022-07-08;05:20:26;43.648
232;Low;2022-07-08;06:20:26;43.466
233;Low;2022-07-08;07:20:26;43.648
234;Low;2022-07-08;08:20:26;44.56
235;Low;2022-07-08;09:20:26;44.922
236;Low;2022-07-08;10:20:26;72.718
237;Low;2022-07-08;11:20:26;89.384
238;Low;2022-07-08;12:20:26;96.361
239;Low;2022-07-08;01:20:26;88.099
240;Low;2022-07-08;02:20:26;115.867
241;Low;2022-07-08;03:20:26;112.467
242;Low;2022-07-08;04:20:26;104.747
243;Low;2022-07-08;05:20:26;95.4
244;Low;2022-07-08;06:20:26;88.282
245;Low;2022-07-08;07:20:26;82.33
246;Low;2022-07-08;08:20:26;64.31
247;Low;2022-07-08;09:20:26;53.1
248;Low;2022-07-08;10:20:26;50.29
249;Low;2022-07-08;11:20:26;48.871
250;Low;2022-07-09;12:20:26;47.982
251;Low;2022-07-09;01:20:26;47.624
252;Low;2022-07-09;02:20:26;47.088
253;Low;2022-07-09;03:20:26;46.188
254;Low;2022-07-09;04:20:26;45.648
255;Low;2022-07-09;05:20:26;45.466
256;Low;2022-07-09;06:20:26;44.922
257;Low;2022-07-09;07:20:26;46.008
258;Low;2022-07-09;08:20:26;46.728
259;Low;2022-07-09;09:20:26;47.266
260;Low;2022-07-09;10:20:26;76.181
261;Low;2022-07-09;11:20:26;92.174
262;Low;2022-07-09;12:20:26;104.747
263;Low;2022-07-09;01:20:26;92.55
264;Low;2022-07-09;02:20:26;91.24
265;Low;2022-07-09;03:20:26;105.577
266;Low;2022-07-09;04:20:26;103.307
267;Low;2022-07-09;05:20:26;103.104
268;Low;2022-07-09;06:20:26;91.425
269;Low;2022-07-09;07:20:26;85.194
270;Low;2022-07-09;08:20:26;67.221
271;Low;2022-07-09;09:20:26;56.23
272;Low;2022-07-09;10:20:26;50.995
273;Low;2022-07-09;11:20:26;49.582
274;Low;2022-07-10;12:20:26;48.871
275;Low;2022-07-10;01:20:26;48.339
276;Low;2022-07-10;02:20:26;47.624
277;Low;2022-07-10;03:20:26;46.908
278;Low;2022-07-10;04:20:26;46.908
279;Low;2022-07-10;05:20:26;46.548
280;Low;2022-07-10;06:20:26;46.369
281;Low;2022-07-10;07:20:26;46.908
282;Low;2022-07-10;08:20:26;47.266
283;Low;2022-07-10;09:20:26;47.266
284;Low;2022-07-10;10:20:26;77.923
285;Low;2022-07-10;11:20:26;94.444
286;Low;2022-07-10;12:20:26;103.717
287;Low;2022-07-10;01:20:26;90.68
288;Low;2022-07-10;02:20:26;118.206
289;Low;2022-07-10;03:20:26;114.039
290;Low;2022-07-10;04:20:26;110.046
291;Low;2022-07-10;05:20:26;104.333
292;Low;2022-07-10;06:20:26;91.425
293;Low;2022-07-10;07:20:26;85.014
294;Low;2022-07-10;08:20:26;66.537
295;Low;2022-07-10;09:20:26;55.364
296;Low;2022-07-10;10:20:26;52.576
297;Low;2022-07-10;11:20:26;51.699
298;Low;2022-07-11;12:20:26;50.819
299;Low;2022-07-11;01:20:26;50.113
300;Low;2022-07-11;02:20:26;49.404
301;Low;2022-07-11;03:20:26;48.695
302;Low;2022-07-11;04:20:26;47.624
303;Low;2022-07-11;05:20:26;47.088
304;Low;2022-07-11;06:20:26;48.517
305;Low;2022-07-11;07:20:26;49.228
306;Low;2022-07-11;08:20:26;49.937
307;Low;2022-07-11;09:20:26;49.228
308;Low;2022-07-11;10:20:26;78.098
309;Low;2022-07-11;11:20:26;101.484
310;Low;2022-07-11;12:20:26;109.396
311;Low;2022-07-11;01:20:26;92.363
312;Low;2022-07-11;02:20:26;114.721
313;Low;2022-07-11;03:20:26;114.039
314;Low;2022-07-11;04:20:26;109.612
315;Low;2022-07-11;05:20:26;100.083
316;Low;2022-07-11;06:20:26;90.68
317;Low;2022-07-11;07:20:26;81.266
318;Low;2022-07-11;08:20:26;67.564
319;Low;2022-07-11;09:20:26;56.75
320;Low;2022-07-11;10:20:26;52.576
321;Low;2022-07-11;11:20:26;51.874
322;Low;2022-07-12;12:20:26;52.75
323;Low;2022-07-12;01:20:26;52.401
324;Low;2022-07-12;02:20:26;51.172
325;Low;2022-07-12;03:20:26;50.643
326;Low;2022-07-12;04:20:26;49.582
327;Low;2022-07-12;05:20:26;48.871
328;Low;2022-07-12;06:20:26;49.759
329;Low;2022-07-12;07:20:26;52.401
330;Low;2022-07-12;08:20:26;55.711
331;Low;2022-07-12;09:20:26;51.523
332;Low;2022-07-12;10:20:26;77.923
333;Low;2022-07-12;11:20:26;99.885
334;Low;2022-07-12;12:20:26;105.786
335;Low;2022-07-12;01:20:26;92.174
336;Low;2022-07-12;02:20:26;112.467
337;Low;2022-07-12;03:20:26;113.362
338;Low;2022-07-12;04:20:26;111.801
339;Low;2022-07-12;05:20:26;103.512
340;Low;2022-07-12;06:20:26;90.867
341;Low;2022-07-12;07:20:26;78.8
342;Low;2022-07-12;08:20:26;66.537
343;Low;2022-07-12;09:20:26;56.404
344;Low;2022-07-12;10:20:26;53.973
345;Low;2022-07-12;11:20:26;52.75
346;Low;2022-07-13;12:20:26;52.05
347;Low;2022-07-13;01:20:26;51.346
348;Low;2022-07-13;02:20:26;50.466
349;Low;2022-07-13;03:20:26;49.937
350;Low;2022-07-13;04:20:26;49.228
351;Low;2022-07-13;05:20:26;48.871
352;Low;2022-07-13;06:20:26;49.05
353;Low;2022-07-13;07:20:26;49.759
354;Low;2022-07-13;08:20:26;50.643
355;Low;2022-07-13;09:20:26;51.874
356;Low;2022-07-13;10:20:26;77.05
357;Low;2022-07-13;11:20:26;107.046
358;Low;2022-07-13;12:20:26;112.914
359;Low;2022-07-13;01:20:26;98.699
360;Low;2022-07-13;02:20:26;114.721
361;Low;2022-07-13;03:20:26;121.338
362;Low;2022-07-13;04:20:26;111.58
363;Low;2022-07-13;05:20:26;104.333
364;Low;2022-07-13;06:20:26;96.361
365;Low;2022-07-13;07:20:26;87.552
366;Low;2022-07-13;08:20:26;72.372
367;Low;2022-07-13;09:20:26;61.569
368;Low;2022-07-13;10:20:26;57.614
369;Low;2022-07-13;11:20:26;56.75
370;Low;2022-07-14;12:20:26;56.923
371;Low;2022-07-14;01:20:26;58.303
372;Low;2022-07-14;02:20:26;55.189
373;Low;2022-07-14;03:20:26;56.23
374;Low;2022-07-14;04:20:26;54.669
375;Low;2022-07-14;05:20:26;57.958
376;Low;2022-07-14;06:20:26;57.096
377;Low;2022-07-14;07:20:26;58.993
378;Low;2022-07-14;08:20:26;62.083
379;Low;2022-07-14;09:20:26;57.096
380;Low;2022-07-14;10:20:26;81.797
381;Low;2022-07-14;11:20:26;105.786
382;Low;2022-07-14;12:20:26;112.69
383;Low;2022-07-14;01:20:26;99.687
384;Low;2022-07-14;02:20:26;119.637
385;Low;2022-07-14;03:20:26;122.076
386;Low;2022-07-14;04:20:26;119.878
387;Low;2022-07-14;05:20:26;111.139
388;Low;2022-07-14;06:20:26;98.897
389;Low;2022-07-14;07:20:26;91.053
390;Low;2022-07-14;08:20:26;75.139
391;Low;2022-07-14;09:20:26;64.481
392;Low;2022-07-14;10:20:26;60.195
393;Low;2022-07-14;11:20:26;58.131
394;Low;2022-07-15;12:20:26;56.577
395;Low;2022-07-15;01:20:26;55.537
396;Low;2022-07-15;02:20:26;55.189
397;Low;2022-07-15;03:20:26;53.623
398;Low;2022-07-15;04:20:26;52.75
399;Low;2022-07-15;05:20:26;52.225
400;Low;2022-07-15;06:20:26;53.1
401;Low;2022-07-15;07:20:26;53.798
402;Low;2022-07-15;08:20:26;55.017
